"interaction","name","selected","shared interaction","shared name"
"interacts with","BARD1 (interacts with)  XRCC6","false","interacts with","BARD1 (interacts with)  XRCC6"
"interacts with","BARD1 (interacts with)  EXOC5","false","interacts with","BARD1 (interacts with)  EXOC5"
"interacts with","BARD1 (interacts with)  SPAG5","false","interacts with","BARD1 (interacts with)  SPAG5"
"interacts with","BARD1 (interacts with)  KIFC3","false","interacts with","BARD1 (interacts with)  KIFC3"
"interacts with","BARD1 (interacts with)  MTUS2","false","interacts with","BARD1 (interacts with)  MTUS2"
"interacts with","BARD1 (interacts with)  H2BC4","false","interacts with","BARD1 (interacts with)  H2BC4"
"interacts with","BARD1 (interacts with)  TCERG1","false","interacts with","BARD1 (interacts with)  TCERG1"
"interacts with","BARD1 (interacts with)  KAT5","false","interacts with","BARD1 (interacts with)  KAT5"
"interacts with","BARD1 (interacts with)  MKI67","false","interacts with","BARD1 (interacts with)  MKI67"
"interacts with","BARD1 (interacts with)  JUN","false","interacts with","BARD1 (interacts with)  JUN"
"interacts with","BARD1 (interacts with)  PIAS4","false","interacts with","BARD1 (interacts with)  PIAS4"
"interacts with","BARD1 (interacts with)  PARN","false","interacts with","BARD1 (interacts with)  PARN"
"interacts with","BARD1 (interacts with)  GPRASP2","false","interacts with","BARD1 (interacts with)  GPRASP2"
"interacts with","BARD1 (interacts with)  OST4","false","interacts with","BARD1 (interacts with)  OST4"
"interacts with","BARD1 (interacts with)  Brca1","false","interacts with","BARD1 (interacts with)  Brca1"
"interacts with","BARD1 (interacts with)  CHD3","false","interacts with","BARD1 (interacts with)  CHD3"
"interacts with","BARD1 (interacts with)  BRCA1","false","interacts with","BARD1 (interacts with)  BRCA1"
"interacts with","BARD1 (interacts with)  BRD7","false","interacts with","BARD1 (interacts with)  BRD7"
"interacts with","BARD1 (interacts with)  UIMC1","false","interacts with","BARD1 (interacts with)  UIMC1"
"interacts with","BARD1 (interacts with)  CCDC136","false","interacts with","BARD1 (interacts with)  CCDC136"
"interacts with","BARD1 (interacts with)  PIN1","false","interacts with","BARD1 (interacts with)  PIN1"
"interacts with","BARD1 (interacts with)  NUMA1","false","interacts with","BARD1 (interacts with)  NUMA1"
"interacts with","BARD1 (interacts with)  VPS35","false","interacts with","BARD1 (interacts with)  VPS35"
"interacts with","BARD1 (interacts with)  LRIF1","false","interacts with","BARD1 (interacts with)  LRIF1"
"interacts with","BARD1 (interacts with)  CSTF2","false","interacts with","BARD1 (interacts with)  CSTF2"
"interacts with","BARD1 (interacts with)  KBTBD7","false","interacts with","BARD1 (interacts with)  KBTBD7"
"interacts with","BARD1 (interacts with)  ZNF655","false","interacts with","BARD1 (interacts with)  ZNF655"
"interacts with","BARD1 (interacts with)  PCNA","false","interacts with","BARD1 (interacts with)  PCNA"
"interacts with","BARD1 (interacts with)  ELP1","false","interacts with","BARD1 (interacts with)  ELP1"
"interacts with","BARD1 (interacts with)  nan","false","interacts with","BARD1 (interacts with)  nan"
"interacts with","BARD1 (interacts with)  ZHX1","false","interacts with","BARD1 (interacts with)  ZHX1"
"interacts with","BARD1 (interacts with)  GOLGA2","false","interacts with","BARD1 (interacts with)  GOLGA2"
"interacts with","BARD1 (interacts with)  H2BC21","false","interacts with","BARD1 (interacts with)  H2BC21"
"interacts with","BARD1 (interacts with)  HMGA1","false","interacts with","BARD1 (interacts with)  HMGA1"
"interacts with","BARD1 (interacts with)  GIT1","false","interacts with","BARD1 (interacts with)  GIT1"
"interacts with","BARD1 (interacts with)  KRT40","false","interacts with","BARD1 (interacts with)  KRT40"
"interacts with","BARD1 (interacts with)  RABEP1","false","interacts with","BARD1 (interacts with)  RABEP1"
"interacts with","BARD1 (interacts with)  HMGN2","false","interacts with","BARD1 (interacts with)  HMGN2"
"interacts with","BARD1 (interacts with)  IKZF1","false","interacts with","BARD1 (interacts with)  IKZF1"
"interacts with","BARD1 (interacts with)  TP53","false","interacts with","BARD1 (interacts with)  TP53"
"interacts with","BARD1 (interacts with)  CEP70","false","interacts with","BARD1 (interacts with)  CEP70"
"interacts with","BARD1 (interacts with)  POLR1A","false","interacts with","BARD1 (interacts with)  POLR1A"
"interacts with","BARD1 (interacts with)  CBX1","false","interacts with","BARD1 (interacts with)  CBX1"
"interacts with","BARD1 (interacts with)  CEP126","false","interacts with","BARD1 (interacts with)  CEP126"
"interacts with","BARD1 (interacts with)  ING5","false","interacts with","BARD1 (interacts with)  ING5"
"interacts with","BARD1 (interacts with)  MSN","false","interacts with","BARD1 (interacts with)  MSN"
"interacts with","BARD1 (interacts with)  MDC1","false","interacts with","BARD1 (interacts with)  MDC1"
"interacts with","BARD1 (interacts with)  HSF2BP","false","interacts with","BARD1 (interacts with)  HSF2BP"
"interacts with","KRAS (interacts with)  ANO10","false","interacts with","KRAS (interacts with)  ANO10"
"interacts with","KRAS (interacts with)  A4D1S0","false","interacts with","KRAS (interacts with)  A4D1S0"
